date,gdp,c,ch,gdph,jc,jgdp,jgf,jgs,jgse,jgsi,ptgh,ptgsh,ptgfh,yptmr,yptmd,yptu,gtfp,ypog,yptx,ytpi,yctlg,g,grcsi,dc,gf,gs,gfh,gsh,gfrpt,gfrpri,gfrcp,gfrs,gftfp,gfeg,gsrpt,gsrpri,gsrcp,gsrs,gstfp,gset,gfeghhx,gfeghdx,gfeigx,gfsub,gssub,gsub,gftfbusx,pcw,gdppothq,gdppotq,recessq,gdp_g,gdph_g,gdppothq_g,gdppotq_g,dc_g,jgdp_g,c_g,ch_g,gh_g,gfh_g,gsh_g,g_g,gf_g,gs_g,cpiu_g.x,jgf_g,jgs_g,jc_g,gsrpt_g,gsrpri_g,gsrcp_g,gsrs_g,cpiu_g.y,pcw_g,gftfp_g,gfrpt_g,gfrpri_g,gfrcp_g,gfrs_g,yptmr_g,yptmd_g,gfrptCurrentLaw_g,gfrptCurrentLaw,fshare,gftfpnet_g,gstfp_g,gstfpnet_g,gfsub_g,gssub_g,gfeghhx_g,gfeghdx_g,gfeg_g,gfeigx_g,jgsi_g,jgse_g,yptxb,yfptmd,ysptmd,gfegnet,gstfpnet,gftfpnet
2026-03-31,27378.01278333266,18423.24989298936,NA,21828.180401129328,122.32779428974787,125.42704946996469,124.4655511503017,136.3679563817792,136.17700724458368,137.1981193989767,NA,NA,NA,1171.829527833071,839.6945815924713,NA,4376.073236843053,NA,2809.3317568968987,1887.317140731856,670.4923663135746,4618.431675844942,1857.3528836988078,NA,1799.6650065953422,2795.3929016416555,NA,NA,2155.3422845230793,185.57286863290474,589.4446009402461,1831.2140088631309,2489.380914168988,880.7051609700736,653.9894723738194,1701.7442720989511,81.0477653733285,26.138874835677004,1886.6923226740648,NA,640.3061600578241,583.9084759138992,89.39611355578705,1332.161256403204,0.6596490499644484,NA,NA,NA,21183.200000000008,26404.49999999999,NA,0.010986488641978154,0.005839317427225765,0.004481072802021924,0.009604906455399576,0.004966887417218624,0.005645161290322553,0.011913677290267266,0.0070212501553372775,0.0015957918378202152,6.727965911639266e-4,0.002150117279124286,0.008544696201104651,0.010126234092344477,0.010074653910270293,0.005584642233857018,0.005349497728112329,0.007907534504572267,0.0048583156851707,0.010986488641978154,0.010986488641978376,0.010986488641978154,0.010986488641978154,0.022526395981815606,NA,0.01097148817770699,0.029290056780473694,0.0063320165341207435,0.0035488257694138436,0.00980473305463514,0.017384260172786048,0.013297861514267595,0.02845656245052064,2140.316105,0.629670798,0.01097148817770699,0.010074653910270293,0.010074653910270293,0.004481072802021924,0.004481072802021924,0.013297861514267595,0.013297861514267595,0.010126234092344477,0.010126234092344477,0.007907534504572267,0.007907534504572267,2794.3055773738192,583.9084759138992,255.78610567857208,296.7966850561744,1302.7838467601655,3073.289390082887
2026-06-30,27677.428685814437,18629.225925497456,NA,21954.58792103646,122.92099082717928,126.03054770318022,125.12498176327679,137.4396081817605,137.24715846486862,138.27629506068666,NA,NA,NA,1191.852826981166,850.7141866704991,NA,4425.238208004308,NA,2877.8176558800324,1907.0956916980842,673.4631730238266,4659.31554367779,1875.4189820122078,NA,1816.3186515990885,2824.7790282267947,NA,NA,2216.675916844858,186.74052548289222,591.5290398192959,1848.994242937197,2518.7123301299166,888.8549838815666,661.1417390351746,1720.355166215192,81.93413320453062,26.42473907501095,1906.5258778743914,NA,648.7091212862796,591.5713106485017,90.22336259070003,1338.0789824421188,0.6625793426304126,NA,NA,NA,21277.300000000007,26656.699999999993,NA,0.010936363601380839,0.005791024152457025,0.004442199478832176,0.00955140222310602,0.004118616144975329,0.004811547714514752,0.011180222474563406,0.006300432597711625,0.0019178001357211816,7.470491558343451e-4,0.0026331187829138347,0.008852327089015066,0.009253747193346928,0.010512342135476471,0.005553627212773193,0.0052980974002900805,0.00785853090722477,0.0048492375823139255,0.010936363601380839,0.010936363601380616,0.010936363601380839,0.010936363601380839,0.022400251610783295,NA,0.011782614622768639,0.02845656245052064,0.006292174381899107,0.0035362761415149713,0.009709533668926351,0.01708721164000848,0.013123349036180842,0.02766919235044507,2199.536923,0.629670798,0.011782614622768639,0.010512342135476471,0.010512342135476471,0.004442199478832176,0.004442199478832176,0.013123349036180842,0.013123349036180842,0.009253747193346928,0.009253747193346928,0.00785853090722477,0.00785853090722477,2860.678662035175,591.5713106485017,259.1428760219974,297.28367323306486,1314.9545672258896,3110.2836407784184
2026-09-30,27979.16237501493,18836.867251850996,NA,22081.2048983088,123.51605279651181,126.73462897526503,125.7887863917961,138.52998107186238,138.33600456108059,139.37330578032223,NA,NA,NA,1211.8761261292611,861.7337917485269,NA,4476.541531316632,NA,2946.35892075569,1927.018310106451,676.4408411317866,4700.715621963072,1893.4872932085302,NA,1834.4728405427986,2854.666624548882,NA,NA,2278.0095491666375,187.90818233287973,593.6134786983457,1866.774477011263,2549.84364166853,897.7391305629529,668.3493715890526,1739.1101277735713,82.82736243344084,26.712816197267255,1926.6978896481023,NA,657.112082514735,599.2341453831042,91.12514927343128,1343.9778421918552,0.665500293236868,NA,NA,NA,21371.100000000006,26910.59999999999,NA,0.010901796284101373,0.0057672217637489975,0.004408454080169877,0.009524809897699216,0.004922067268252617,0.005586592178770999,0.011145998614432218,0.006274611328364488,0.0019435773602685114,8.211406389968534e-4,0.0026262036766850905,0.008885442056281834,0.009995046258940876,0.010580507722350418,0.005522954780807776,0.005305132669470858,0.007933469139841387,0.004841011818470964,0.010901796284101373,0.010901796284101373,0.010901796284101373,0.010901796284101373,0.022275512098141714,NA,0.012360010774635555,0.02766919235044507,0.006252830482125216,0.003523814958749316,0.009616165189255232,0.01680014402349661,0.012953357603163962,0.02692422090338331,2258.757741,0.629670798,0.012360010774635555,0.010580507722350418,0.010580507722350418,0.004408454080169877,0.004408454080169877,0.012953357603163962,0.012953357603163962,0.009995046258940876,0.009995046258940876,0.007933469139841387,0.007933469139841387,2927.1071125890526,599.2341453831042,262.4996463654227,298.50498517984875,1327.4637442649982,3149.077787051634
2026-12-31,28283.740620642948,19048.46365108746,NA,22208.240790311567,124.11281144123232,127.33812720848057,126.45886647296796,139.6273189508166,139.43180589342404,140.47732388935873,NA,NA,NA,1233.439528668272,873.1799234949942,NA,4527.356248723543,NA,3014.9681346812613,1944.4771350899778,678.7377340069557,4742.735152791277,1911.7349191661986,NA,1851.2858709402115,2884.9553966605267,NA,NA,2339.3431814884166,186.4352357154023,595.0087215383265,1884.7313100358158,2580.215582043023,905.9669521787997,675.6249531928449,1758.0418993745755,83.72901246862921,27.003609130382824,1947.1406666805206,NA,665.84029015923,607.193579074476,91.96031557889135,1349.8955682307703,0.6684305859028324,NA,NA,NA,21465.200000000008,27166.499999999996,NA,0.010885895780068156,0.00575312319177379,0.004403142561683948,0.009509264007491636,0.004897959183673528,0.004761904761904745,0.011233099241365174,0.006370892940563255,0.001969198213026102,8.204669202653836e-4,0.0026678308110206217,0.008938964661439508,0.009165047323588693,0.010610265959315468,0.005492619292825074,0.0053270255671657996,0.007921302453546053,0.004831425804252776,0.010885895780067933,0.010885895780068156,0.010885895780068156,0.010885895780068156,0.022152154106033217,NA,0.011911295217544637,0.02692422090338331,-0.007838650766511579,0.0023504231120901053,0.009619176416693964,0.017793404848962968,0.013282677151655209,0.025181852049710463,2315.63744425,0.629670798,0.011911295217544637,0.010610265959315468,0.010610265959315468,0.004403142561683948,0.004403142561683948,0.013282677151655209,0.013282677151655209,0.009165047323588693,0.009165047323588693,0.007921302453546053,0.007921302453546053,2991.262397442845,607.193579074476,265.9863444205182,298.7733731043237,1339.9470876060445,3187.409161117499
2027-03-31,28591.268776640234,19268.802843012498,NA,22336.1145117752,124.71281356860202,127.94162544169615,127.1352065856934,140.72467861092267,140.52762897642026,141.5813639121435,NA,NA,NA,1255.002931207283,884.6260552414618,NA,4578.210625450036,NA,3081.223175856187,1962.1193186362254,681.0433595701171,4784.548199438507,1929.9853615203137,NA,1868.2272260259376,2914.9432869300035,NA,NA,2398.252175378157,184.96228909792487,596.4039643783074,1902.6881430603687,2610.8302556811277,914.2575722681753,682.9710004780299,1777.1570295383005,84.6393951918097,27.297218459945025,1967.3803697689084,NA,674.5684978037251,615.153012765848,92.80185625311807,1355.8510268480418,0.6713795626878146,NA,NA,NA,21559.90000000001,27424.499999999996,NA,0.010872966207759571,0.00575794015703468,0.004411792110019963,0.009496990779084502,0.004874086108854758,0.004739336492891155,0.011567294662761851,0.0067005731815612535,0.0018773283271245056,8.197943061560853e-4,0.0025156015674134835,0.008816230571639938,0.009151128602911118,0.01039457674256905,0.005462615227040057,0.0053483012428394705,0.007859204547876475,0.004834328707909341,0.010872966207759571,0.010872966207759571,0.010872966207759571,0.010872966207759571,0.022030154810669167,NA,0.011865161132723623,0.025181852049710463,-0.007900580659151446,0.0023449115777220975,0.009527529430288784,0.01748233459186488,0.01310856037625463,0.02456330259783912,2372.5171474999997,0.629670798,0.011865161132723623,0.01039457674256905,0.01039457674256905,0.004411792110019963,0.004411792110019963,0.01310856037625463,0.01310856037625463,0.009151128602911118,0.009151128602911118,0.007859204547876475,0.007859204547876475,3055.4881479780297,615.153012765848,269.47304247561385,299.10455950232733,1352.2273570030604,3225.9832684469757
2027-06-30,28901.536135123286,19494.03383560852,NA,22464.616605334475,125.31470349585726,128.64570671378095,127.81563303290726,141.83386657991412,141.6352638057205,142.69730425064617,NA,NA,NA,1276.5663337462938,896.0721869879295,NA,4628.027507212337,NA,3147.5436494495475,1979.9317637050005,683.3570940578423,4827.083940719147,1948.2384190997009,NA,1886.7403734096504,2945.4326469364282,NA,NA,2457.1611692678966,183.48934248044742,597.7992072182881,1920.6449760849218,2640.0689777816565,923.3173830590074,690.382480181651,1796.442421224553,85.55788683955431,27.593443014779105,1987.9585294306805,NA,683.2967054482203,623.1124464572199,93.72147374844316,1361.8253517544915,0.6743378815323057,NA,NA,NA,21654.90000000001,27684.5,NA,0.010851821963792974,0.005753108647949201,0.0044063284152524584,0.009480573939360859,0.004850444624090455,0.005503144654088077,0.011688893930309696,0.006829724672547499,0.0019323671497584183,8.935885024945467e-4,0.002557544757033181,0.008890231534428139,0.009909473069340535,0.010459675199559593,0.005772495755517859,0.005351990730869893,0.007881971946499533,0.004826207588718656,0.010851821963792974,0.010851821963792752,0.010851821963792752,0.010851821963792752,0.02329068377354715,NA,0.011199013048399431,0.02456330259783912,-0.007963496908808376,0.0023394258310054372,0.009437612301336218,0.017181953924416238,0.012938949377139242,0.023974411864603917,2429.39685075,0.629670798,0.011199013048399431,0.010459675199559593,0.010459675199559593,0.0044063284152524584,0.0044063284152524584,0.012938949377139242,0.012938949377139242,0.009909473069340535,0.009909473069340535,0.007881971946499533,0.007881971946499533,3119.7793309316507,623.1124464572199,272.9597405307096,300.2049366017875,1364.8460829734606,3263.1814242388764
2027-09-30,29215.490881567934,19723.42806281814,NA,22594.27071440243,125.9184624500779,129.2492049469965,128.49484560702714,142.9531821183509,142.75301202334393,143.8234338118874,NA,NA,NA,1298.1297362853045,907.518318734397,NA,4677.41655724468,NA,3213.95220514465,1997.9734069771778,685.681744405558,4869.619681999786,1966.4949971746466,NA,1903.9294990953406,2975.821712995463,NA,NA,2516.070163157637,182.01639586297,599.1944500582689,1938.6018091094752,2668.947559466904,931.7292550732276,697.8820419870128,1815.9570111142077,86.48729434728911,27.89318806517149,2008.4689977777757,NA,692.0249130927155,631.0718801485918,94.57532211805153,1367.8436980023569,0.6773179985156508,NA,NA,NA,21750.600000000006,27947.3,NA,0.010862908634918789,0.005771481051547012,0.004419323109319251,0.009492676407375944,0.00482703137570395,0.004691164972634887,0.011767406845811568,0.006916143420371279,0.0018701966628678068,8.927907149764991e-4,0.0024066230265691324,0.0088118917762805,0.009110488081954138,0.010317352220103437,0.005401755570560551,0.005314002348562719,0.007891736758132595,0.004817941848624274,0.010862908634918789,0.010862908634918789,0.010862908634918789,0.010862908634918789,0.02178272738362752,NA,0.010938570896550148,0.023974411864603917,-0.008027423269198142,0.002333965691378559,0.009349376510570329,0.01689172114991422,0.012773671488390592,0.023413096642666886,2486.276554,0.629670798,0.010938570896550148,0.010317352220103437,0.010317352220103437,0.004419323109319251,0.004419323109319251,0.012773671488390592,0.012773671488390592,0.009110488081954138,0.009110488081954138,0.007891736758132595,0.007891736758132595,3184.1585959870126,631.0718801485918,276.44643858580514,300.65737492463575,1377.3971176291839,3300.0194396154957
2027-12-31,29529.97239772138,19957.19368637205,NA,22722.458621913887,126.52679124266348,129.95328621908132,129.17510283584724,144.0815551332751,143.87980503472951,144.95867598853732,NA,NA,NA,1337.921198443742,919.3969740093174,NA,4761.366066632658,NA,3280.373343997144,2013.5585711679107,691.8773096607702,4912.155423280426,1985.18925841462,NA,1922.7656927579797,3006.5116608966664,NA,NA,2574.9791570473776,178.05422756356242,604.4590483971762,1956.9958223711194,2732.183526563756,940.9471555774453,705.3941869497663,1835.5043436043484,87.41826126359393,28.19343604350077,2029.1825400689017,NA,701.0829400378343,639.3320829050884,95.51098653418067,1373.9249318808168,0.680329255697359,NA,NA,NA,21847.300000000007,28213,NA,0.010764204422519352,0.005673469576946477,0.00444585436723588,0.009507179584432146,0.0048038430744594685,0.005447470817120603,0.01185218019957679,0.006987291040447152,0.001808371007729237,8.176614881441058e-4,0.0024008450974744022,0.008734920601267904,0.009893325184356483,0.010313100333659175,0.005708529214237812,0.005294042929165466,0.00789330463445026,0.0048311326293930534,0.010764204422519352,0.010764204422519352,0.010764204422519352,0.010764204422519352,0.02303038585597106,NA,0.023693222023996263,0.023413096642666886,-0.021768194456451395,0.00878612667122547,0.00948828850525718,0.030652916304269917,0.013089163083215949,0.010470939750494068,2512.310206,0.629670798,0.023693222023996263,0.010313100333659175,0.010313100333659175,0.00444585436723588,0.00444585436723588,0.013089163083215949,0.013089163083215949,0.009893325184356483,0.009893325184356483,0.00789330463445026,0.00789330463445026,3217.7043929497663,639.3320829050884,280.064891104229,301.61507267235686,1389.8504571638132,3371.5156094688446
2028-03-31,29838.13267736923,20184.50629627487,NA,22844.362808468897,127.1356965216484,130.5567844522969,129.87122004882568,145.2028989936636,144.99957873414823,146.08684621948353,NA,NA,NA,1377.7126606021798,931.275629284238,NA,4841.72895042334,NA,3314.6969426834203,2028.750824152812,698.0541620131418,4955.310617103987,2003.877484519351,NA,1940.2494496632853,3037.6027845874282,NA,NA,2601.941608659599,174.09205926415487,609.7236467360833,1975.3898356327636,2791.5621028046053,949.503211778582,712.7553340238212,1854.658764888657,88.33051527705844,28.487648886587255,2050.166847618735,NA,710.1409669829533,647.5922856615852,96.37947034197853,1380.0376095745737,0.6833560829782488,NA,NA,NA,21944.500000000007,28481.1,NA,0.010435508557117057,0.005364920609314927,0.00444906235553133,0.009502711515967821,0.004780876494023811,0.004643962848297489,0.011390008709392996,0.006546044879683688,0.0018633359536495142,7.427213309565417e-4,0.00253880053650124,0.008785388511738379,0.00909302520382882,0.010341261633919352,0.005342237061769728,0.005388942587977175,0.007782702368469563,0.004812461242434507,0.010435508557117057,0.010435508557117057,0.010435508557116835,0.010435508557117057,0.02154079590155722,NA,0.02173301158708374,0.010470939750494068,-0.02225259323311002,0.008709602996046062,0.009399107065725776,0.029741259952172694,0.012920050436015629,0.01036243531464609,2538.343858,0.629670798,0.02173301158708374,0.010341261633919352,0.010341261633919352,0.00444906235553133,0.00444906235553133,0.012920050436015629,0.012920050436015629,0.00909302520382882,0.00909302520382882,0.007782702368469563,0.007782702368469563,3251.099192023821,647.5922856615852,283.68334362265284,301.91092611699685,1402.5745619571499,3439.1543884661905
2028-06-30,30137.96999561805,20401.723062239704,NA,22958.202886463136,127.74701676534616,131.26086572438172,130.56394964919735,146.34647731502145,146.1415557607476,147.23738626744378,NA,NA,NA,1417.5041227606173,943.1542845591583,NA,4918.923348089217,NA,3348.82172748291,2043.4257440500344,704.2063757101071,4998.465810927549,2022.5577643626787,NA,1959.4131992852633,3068.69390827819,NA,NA,2628.90406027182,170.12989096474732,614.9882450749905,1993.783848894408,2847.7721929206486,958.8814089062485,719.9176672110897,1873.295853085287,89.21813063511658,28.773915468270715,2071.1511551685685,NA,719.198993928072,655.8524884180816,97.33140569165899,1386.2257524250438,0.6864202784971744,NA,NA,NA,22042.90000000001,28752.4,NA,0.010048796333566479,0.004983289704715954,0.004484039280913343,0.009525615232557794,0.004758128469468659,0.005392912172573094,0.010761559523748243,0.005924663770453531,0.0017726889657376788,8.163871159267977e-4,0.0023412489846623696,0.008708877638185841,0.009876951453486438,0.010235414534288667,0.00564596479574897,0.00533397314748596,0.00787572651292412,0.004808407555258576,0.010048796333566479,0.010048796333566479,0.010048796333566479,0.010048796333566257,0.022775841613820846,NA,0.020135711850927773,0.01036243531464609,-0.022759040912920914,0.008634400793029906,0.00931158646756547,0.028882265000776952,0.012755251937656809,0.010256156555759954,2564.37751,0.629670798,0.020135711850927773,0.010235414534288667,0.010235414534288667,0.004484039280913343,0.004484039280913343,0.012755251937656809,0.012755251937656809,0.009876951453486438,0.009876951453486438,0.00787572651292412,0.00787572651292412,3284.2951772110896,655.8524884180816,287.3017961410767,303.0289204881668,1415.298666750487,3503.62468133873
